Name,Gender,Race/Ethnicity,Count,Rank,Year
HAWA,FEMALE,BLACK NON HISP,13,44,2012
HEAVEN,FEMALE,BLACK NON HISP,25,32,2012
IMANI,FEMALE,BLACK NON HISP,34,24,2012
ISABELLA,FEMALE,BLACK NON HISP,43,16,2012
JADA,FEMALE,BLACK NON HISP,28,30,2012
JADE,FEMALE,BLACK NON HISP,32,26,2012
JALIYAH,FEMALE,BLACK NON HISP,16,41,2012
JANELLE,FEMALE,BLACK NON HISP,17,40,2012
JANIYAH,FEMALE,BLACK NON HISP,15,42,2012
JASMINE,FEMALE,BLACK NON HISP,27,31,2012
JAYDA,FEMALE,BLACK NON HISP,12,45,2012
JAYLA,FEMALE,BLACK NON HISP,25,32,2012
JESSICA,FEMALE,BLACK NON HISP,11,46,2012
JORDAN,FEMALE,BLACK NON HISP,10,47,2012
JORDYN,FEMALE,BLACK NON HISP,19,38,2012
KAITLYN,FEMALE,BLACK NON HISP,14,43,2012
KALIYAH,FEMALE,BLACK NON HISP,10,47,2012
KAYLA,FEMALE,BLACK NON HISP,62,6,2012
KAYLEE,FEMALE,BLACK NON HISP,30,28,2012
KELSEY,FEMALE,BLACK NON HISP,16,41,2012
KENNEDY,FEMALE,BLACK NON HISP,25,32,2012
KHLOE,FEMALE,BLACK NON HISP,49,12,2012
KIARA,FEMALE,BLACK NON HISP,13,44,2012
KIMORA,FEMALE,BLACK NON HISP,23,34,2012
KYLA,FEMALE,BLACK NON HISP,15,42,2012
KYLEE,FEMALE,BLACK NON HISP,15,42,2012
KYLIE,FEMALE,BLACK NON HISP,31,27,2012
LAILA,FEMALE,BLACK NON HISP,38,20,2012
LAUREN,FEMALE,BLACK NON HISP,32,26,2012
LAYLA,FEMALE,BLACK NON HISP,20,37,2012
LEAH,FEMALE,BLACK NON HISP,35,23,2012
LEILANI,FEMALE,BLACK NON HISP,17,40,2012
LILY,FEMALE,BLACK NON HISP,12,45,2012
LONDON,FEMALE,BLACK NON HISP,87,2,2012
LONDYN,FEMALE,BLACK NON HISP,20,37,2012
LYRIC,FEMALE,BLACK NON HISP,16,41,2012
MACKENZIE,FEMALE,BLACK NON HISP,20,37,2012
MADISON,FEMALE,BLACK NON HISP,159,1,2012
MAKAYLA,FEMALE,BLACK NON HISP,53,11,2012
MAKENZIE,FEMALE,BLACK NON HISP,11,46,2012
MALIA,FEMALE,BLACK NON HISP,21,36,2012
MALIYAH,FEMALE,BLACK NON HISP,14,43,2012
MARIAH,FEMALE,BLACK NON HISP,22,35,2012
MARIAM,FEMALE,BLACK NON HISP,34,24,2012
MARIAMA,FEMALE,BLACK NON HISP,24,33,2012
MAYA,FEMALE,BLACK NON HISP,29,29,2012
MCKENZIE,FEMALE,BLACK NON HISP,22,35,2012
MEGAN,FEMALE,BLACK NON HISP,11,46,2012
MELANIE,FEMALE,BLACK NON HISP,23,34,2012
MELODY,FEMALE,BLACK NON HISP,14,43,2012
MIA,FEMALE,BLACK NON HISP,41,18,2012
MICHELLE,FEMALE,BLACK NON HISP,14,43,2012
MIKAYLA,FEMALE,BLACK NON HISP,17,40,2012
MILAN,FEMALE,BLACK NON HISP,23,34,2012
MIRACLE,FEMALE,BLACK NON HISP,18,39,2012
MORGAN,FEMALE,BLACK NON HISP,24,33,2012
MYA,FEMALE,BLACK NON HISP,21,36,2012
NAOMI,FEMALE,BLACK NON HISP,33,25,2012
NEVAEH,FEMALE,BLACK NON HISP,57,9,2012
NIA,FEMALE,BLACK NON HISP,32,26,2012
NYLA,FEMALE,BLACK NON HISP,47,14,2012
NYLAH,FEMALE,BLACK NON HISP,31,27,2012
OLIVIA,FEMALE,BLACK NON HISP,58,8,2012
OUMOU,FEMALE,BLACK NON HISP,13,44,2012
PAIGE,FEMALE,BLACK NON HISP,25,32,2012
PARIS,FEMALE,BLACK NON HISP,29,29,2012
PEYTON,FEMALE,BLACK NON HISP,36,22,2012
PHOENIX,FEMALE,BLACK NON HISP,11,46,2012
PRINCESS,FEMALE,BLACK NON HISP,11,46,2012
RILEY,FEMALE,BLACK NON HISP,23,34,2012
SAMANTHA,FEMALE,BLACK NON HISP,18,39,2012
SAMARA,FEMALE,BLACK NON HISP,15,42,2012
SAMIYAH,FEMALE,BLACK NON HISP,12,45,2012
SANAA,FEMALE,BLACK NON HISP,22,35,2012
SANAI,FEMALE,BLACK NON HISP,19,38,2012
SANIYAH,FEMALE,BLACK NON HISP,16,41,2012
SARAH,FEMALE,BLACK NON HISP,29,29,2012
SARAI,FEMALE,BLACK NON HISP,16,41,2012
SARIAH,FEMALE,BLACK NON HISP,15,42,2012
SASHA,FEMALE,BLACK NON HISP,13,44,2012
SAVANNAH,FEMALE,BLACK NON HISP,37,21,2012
SERENITY,FEMALE,BLACK NON HISP,59,7,2012
SHAYLA,FEMALE,BLACK NON HISP,10,47,2012
SKYE,FEMALE,BLACK NON HISP,13,44,2012
SKYLA,FEMALE,BLACK NON HISP,29,29,2012
SKYLAH,FEMALE,BLACK NON HISP,14,43,2012
SKYLAR,FEMALE,BLACK NON HISP,43,16,2012
SOPHIA,FEMALE,BLACK NON HISP,23,34,2012
STEPHANIE,FEMALE,BLACK NON HISP,10,47,2012
SUMMER,FEMALE,BLACK NON HISP,27,31,2012
SYDNEY,FEMALE,BLACK NON HISP,17,40,2012
TALIA,FEMALE,BLACK NON HISP,11,46,2012
TAMIA,FEMALE,BLACK NON HISP,20,37,2012
TAYLOR,FEMALE,BLACK NON HISP,71,3,2012
TIANA,FEMALE,BLACK NON HISP,17,40,2012
TORI,FEMALE,BLACK NON HISP,13,44,2012
TRINITY,FEMALE,BLACK NON HISP,19,38,2012
VANESSA,FEMALE,BLACK NON HISP,17,40,2012
VICTORIA,FEMALE,BLACK NON HISP,39,19,2012
VIOLET,FEMALE,BLACK NON HISP,11,46,2012
WYNTER,FEMALE,BLACK NON HISP,10,47,2012
ZOE,FEMALE,BLACK NON HISP,36,22,2012
ZOEY,FEMALE,BLACK NON HISP,22,35,2012
ZURI,FEMALE,BLACK NON HISP,10,47,2012
AARON,MALE,BLACK NON HISP,59,19,2012
ABDOUL,MALE,BLACK NON HISP,10,61,2012
ABDOULAYE,MALE,BLACK NON HISP,15,56,2012
ABDUL,MALE,BLACK NON HISP,15,56,2012
ADAM,MALE,BLACK NON HISP,20,51,2012
ADONIS,MALE,BLACK NON HISP,15,56,2012
ADRIAN,MALE,BLACK NON HISP,24,47,2012
AIDAN,MALE,BLACK NON HISP,14,57,2012
AIDEN,MALE,BLACK NON HISP,156,2,2012
ALEX,MALE,BLACK NON HISP,12,59,2012
ALEXANDER,MALE,BLACK NON HISP,42,32,2012
ALI,MALE,BLACK NON HISP,14,57,2012
ALPHA,MALE,BLACK NON HISP,14,57,2012
AMADOU,MALE,BLACK NON HISP,21,50,2012
AMAR'E,MALE,BLACK NON HISP,16,55,2012
AMARE,MALE,BLACK NON HISP,15,56,2012
AMARI,MALE,BLACK NON HISP,44,30,2012
AMIR,MALE,BLACK NON HISP,66,17,2012
ANDRE,MALE,BLACK NON HISP,14,57,2012
ANDREW,MALE,BLACK NON HISP,50,25,2012
ANTHONY,MALE,BLACK NON HISP,58,20,2012
ANTONIO,MALE,BLACK NON HISP,11,60,2012
ARMANI,MALE,BLACK NON HISP,10,61,2012
ASHTON,MALE,BLACK NON HISP,16,55,2012
AUSTIN,MALE,BLACK NON HISP,27,44,2012
AVERY,MALE,BLACK NON HISP,20,51,2012
AYDEN,MALE,BLACK NON HISP,70,14,2012
BENJAMIN,MALE,BLACK NON HISP,24,47,2012
BLAKE,MALE,BLACK NON HISP,24,47,2012
BOUBACAR,MALE,BLACK NON HISP,10,61,2012
BRADLEY,MALE,BLACK NON HISP,10,61,2012
BRANDON,MALE,BLACK NON HISP,50,25,2012
BRIAN,MALE,BLACK NON HISP,12,59,2012
BRYAN,MALE,BLACK NON HISP,17,54,2012
BRYCE,MALE,BLACK NON HISP,32,39,2012
BRYSON,MALE,BLACK NON HISP,10,61,2012
CADEN,MALE,BLACK NON HISP,10,61,2012
CALEB,MALE,BLACK NON HISP,41,33,2012
CAMERON,MALE,BLACK NON HISP,54,23,2012
CAMREN,MALE,BLACK NON HISP,11,60,2012
CARMELO,MALE,BLACK NON HISP,11,60,2012
CARTER,MALE,BLACK NON HISP,50,25,2012
CAYDEN,MALE,BLACK NON HISP,19,52,2012
CHAD,MALE,BLACK NON HISP,11,60,2012
CHANCE,MALE,BLACK NON HISP,25,46,2012
CHARLES,MALE,BLACK NON HISP,18,53,2012
CHASE,MALE,BLACK NON HISP,56,21,2012
CHRISTIAN,MALE,BLACK NON HISP,104,7,2012
CHRISTOPHER,MALE,BLACK NON HISP,68,15,2012
CONNOR,MALE,BLACK NON HISP,10,61,2012
DAMANI,MALE,BLACK NON HISP,10,61,2012
DANIEL,MALE,BLACK NON HISP,67,16,2012
DARIUS,MALE,BLACK NON HISP,14,57,2012
DARREN,MALE,BLACK NON HISP,13,58,2012
DAVID,MALE,BLACK NON HISP,67,16,2012
DERRICK,MALE,BLACK NON HISP,11,60,2012
DEVIN,MALE,BLACK NON HISP,18,53,2012
DOMINIC,MALE,BLACK NON HISP,18,53,2012
DYLAN,MALE,BLACK NON HISP,58,20,2012
ELI,MALE,BLACK NON HISP,34,37,2012
ELIAS,MALE,BLACK NON HISP,10,61,2012
ELIJAH,MALE,BLACK NON HISP,115,6,2012
EMMANUEL,MALE,BLACK NON HISP,33,38,2012
ERIC,MALE,BLACK NON HISP,22,49,2012
ETHAN,MALE,BLACK NON HISP,151,3,2012
EVAN,MALE,BLACK NON HISP,21,50,2012
GABRIEL,MALE,BLACK NON HISP,37,35,2012
GAVIN,MALE,BLACK NON HISP,19,52,2012
GIOVANNI,MALE,BLACK NON HISP,12,59,2012
HUNTER,MALE,BLACK NON HISP,21,50,2012
IAN,MALE,BLACK NON HISP,24,47,2012
IBRAHIM,MALE,BLACK NON HISP,28,43,2012
IBRAHIMA,MALE,BLACK NON HISP,17,54,2012
ISAAC,MALE,BLACK NON HISP,17,54,2012
ISAIAH,MALE,BLACK NON HISP,95,9,2012
ISRAEL,MALE,BLACK NON HISP,11,60,2012
JACE,MALE,BLACK NON HISP,20,51,2012
JACOB,MALE,BLACK NON HISP,58,20,2012
JADEN,MALE,BLACK NON HISP,50,25,2012
JAHMIR,MALE,BLACK NON HISP,12,59,2012
JAIDEN,MALE,BLACK NON HISP,29,42,2012
JALEN,MALE,BLACK NON HISP,17,54,2012
JAMARI,MALE,BLACK NON HISP,16,55,2012
JAMES,MALE,BLACK NON HISP,34,37,2012
JASIAH,MALE,BLACK NON HISP,16,55,2012
JASON,MALE,BLACK NON HISP,55,22,2012
JAYDEN,MALE,BLACK NON HISP,171,1,2012
JAYLEN,MALE,BLACK NON HISP,29,42,2012
JEREMIAH,MALE,BLACK NON HISP,141,4,2012
JEREMY,MALE,BLACK NON HISP,16,55,2012
JERMAINE,MALE,BLACK NON HISP,14,57,2012
JOEL,MALE,BLACK NON HISP,26,45,2012
JOHN,MALE,BLACK NON HISP,17,54,2012
JONAH,MALE,BLACK NON HISP,13,58,2012
JONATHAN,MALE,BLACK NON HISP,50,25,2012
JORDAN,MALE,BLACK NON HISP,60,18,2012
JOSEPH,MALE,BLACK NON HISP,52,24,2012
JOSHUA,MALE,BLACK NON HISP,124,5,2012
JOSIAH,MALE,BLACK NON HISP,103,8,2012
JUDAH,MALE,BLACK NON HISP,16,55,2012
JULIAN,MALE,BLACK NON HISP,26,45,2012
JUSTICE,MALE,BLACK NON HISP,15,56,2012
JUSTIN,MALE,BLACK NON HISP,74,12,2012
KADEN,MALE,BLACK NON HISP,16,55,2012
KAI,MALE,BLACK NON HISP,14,57,2012
KAIDEN,MALE,BLACK NON HISP,32,39,2012
KALEB,MALE,BLACK NON HISP,18,53,2012
KAMARI,MALE,BLACK NON HISP,10,61,2012
KAREEM,MALE,BLACK NON HISP,14,57,2012
KAYDEN,MALE,BLACK NON HISP,50,25,2012
KEITH,MALE,BLACK NON HISP,10,61,2012
KENNETH,MALE,BLACK NON HISP,13,58,2012
KEVIN,MALE,BLACK NON HISP,31,40,2012
KHALIL,MALE,BLACK NON HISP,18,53,2012
KING,MALE,BLACK NON HISP,45,29,2012
KIYAN,MALE,BLACK NON HISP,15,56,2012
KRISTIAN,MALE,BLACK NON HISP,10,61,2012
KYLE,MALE,BLACK NON HISP,44,30,2012
KYMANI,MALE,BLACK NON HISP,20,51,2012
LEON,MALE,BLACK NON HISP,11,60,2012
LEVI,MALE,BLACK NON HISP,15,56,2012
LIAM,MALE,BLACK NON HISP,76,11,2012
LOGAN,MALE,BLACK NON HISP,41,33,2012
LUCAS,MALE,BLACK NON HISP,15,56,2012
LUKE,MALE,BLACK NON HISP,18,53,2012
MAHAMADOU,MALE,BLACK NON HISP,10,61,2012
MAKAI,MALE,BLACK NON HISP,10,61,2012
MAKHI,MALE,BLACK NON HISP,11,60,2012
MALACHI,MALE,BLACK NON HISP,55,22,2012
MALIK,MALE,BLACK NON HISP,25,46,2012
MAMADOU,MALE,BLACK NON HISP,33,38,2012
MARCUS,MALE,BLACK NON HISP,29,42,2012
MASON,MALE,BLACK NON HISP,103,8,2012
MATTHEW,MALE,BLACK NON HISP,60,18,2012
MAURICE,MALE,BLACK NON HISP,13,58,2012
MEKHI,MALE,BLACK NON HISP,21,50,2012
MESSIAH,MALE,BLACK NON HISP,30,41,2012
MICAH,MALE,BLACK NON HISP,29,42,2012
MICHAEL,MALE,BLACK NON HISP,115,6,2012
MILES,MALE,BLACK NON HISP,19,52,2012
MOHAMED,MALE,BLACK NON HISP,47,28,2012
MOHAMMED,MALE,BLACK NON HISP,11,60,2012
MOUSSA,MALE,BLACK NON HISP,12,59,2012
MUHAMMAD,MALE,BLACK NON HISP,17,54,2012
MYLES,MALE,BLACK NON HISP,15,56,2012
NASIR,MALE,BLACK NON HISP,32,39,2012
NATHAN,MALE,BLACK NON HISP,48,27,2012
NATHANAEL,MALE,BLACK NON HISP,13,58,2012
NATHANIEL,MALE,BLACK NON HISP,56,21,2012
NICHOLAS,MALE,BLACK NON HISP,39,34,2012
NOAH,MALE,BLACK NON HISP,95,9,2012
NOEL,MALE,BLACK NON HISP,13,58,2012
OMAR,MALE,BLACK NON HISP,14,57,2012
OMARI,MALE,BLACK NON HISP,17,54,2012
OUMAR,MALE,BLACK NON HISP,17,54,2012
PAUL,MALE,BLACK NON HISP,13,58,2012
PEYTON,MALE,BLACK NON HISP,12,59,2012
PRESTON,MALE,BLACK NON HISP,12,59,2012
PRINCE,MALE,BLACK NON HISP,49,26,2012
RICHARD,MALE,BLACK NON HISP,15,56,2012
RILEY,MALE,BLACK NON HISP,14,57,2012
ROBERT,MALE,BLACK NON HISP,23,48,2012
RYAN,MALE,BLACK NON HISP,71,13,2012
SAMIR,MALE,BLACK NON HISP,12,59,2012
SAMUEL,MALE,BLACK NON HISP,36,36,2012
SEAN,MALE,BLACK NON HISP,18,53,2012
SEBASTIAN,MALE,BLACK NON HISP,18,53,2012
SHANE,MALE,BLACK NON HISP,16,55,2012
SHAWN,MALE,BLACK NON HISP,21,50,2012
SINCERE,MALE,BLACK NON HISP,10,61,2012
STEVEN,MALE,BLACK NON HISP,12,59,2012
TERRELL,MALE,BLACK NON HISP,10,61,2012
THOMAS,MALE,BLACK NON HISP,14,57,2012
TIMOTHY,MALE,BLACK NON HISP,10,61,2012
TRISTAN,MALE,BLACK NON HISP,54,23,2012
TROY,MALE,BLACK NON HISP,13,58,2012
TYLER,MALE,BLACK NON HISP,90,10,2012
WILLIAM,MALE,BLACK NON HISP,22,49,2012
XAVIER,MALE,BLACK NON HISP,41,33,2012
ZACHARY,MALE,BLACK NON HISP,26,45,2012
ZAIRE,MALE,BLACK NON HISP,23,48,2012
ZION,MALE,BLACK NON HISP,43,31,2012
NICHOLAS,MALE,BLACK NON HISP,39,34,2012
CHEYENNE,FEMALE,BLACK NON HISP,10,47,2012
JADA,FEMALE,BLACK NON HISP,28,30,2012
CARTER,MALE,BLACK NON HISP,50,25,2012
MCKENZIE,FEMALE,BLACK NON HISP,22,35,2012
ZION,MALE,BLACK NON HISP,43,31,2012
AUBREY,FEMALE,BLACK NON HISP,27,31,2012
MICAH,MALE,BLACK NON HISP,29,42,2012
OMARI,MALE,BLACK NON HISP,17,54,2012
JALIYAH,FEMALE,BLACK NON HISP,16,41,2012
PARIS,FEMALE,BLACK NON HISP,29,29,2012
KAITLYN,FEMALE,BLACK NON HISP,14,43,2012
ZURI,FEMALE,BLACK NON HISP,10,47,2012
ARIELLE,FEMALE,BLACK NON HISP,23,34,2012
JASIAH,MALE,BLACK NON HISP,16,55,2012
LIAM,MALE,BLACK NON HISP,76,11,2012
SUMMER,FEMALE,BLACK NON HISP,27,31,2012
CHELSEA,FEMALE,BLACK NON HISP,29,29,2012
EMMANUEL,MALE,BLACK NON HISP,33,38,2012
BOUBACAR,MALE,BLACK NON HISP,10,61,2012
MALIK,MALE,BLACK NON HISP,25,46,2012
TAMIA,FEMALE,BLACK NON HISP,20,37,2012
LEON,MALE,BLACK NON HISP,11,60,2012
MAKAI,MALE,BLACK NON HISP,10,61,2012
AMIRA,FEMALE,BLACK NON HISP,16,41,2012
ANTONIO,MALE,BLACK NON HISP,11,60,2012
PRINCE,MALE,BLACK NON HISP,49,26,2012
PHOENIX,FEMALE,BLACK NON HISP,11,46,2012
CAMILLE,FEMALE,BLACK NON HISP,10,47,2012
NATHANAEL,MALE,BLACK NON HISP,13,58,2012
KYMANI,MALE,BLACK NON HISP,20,51,2012
NATHANIEL,MALE,BLACK NON HISP,56,21,2012
JAYLA,FEMALE,BLACK NON HISP,25,32,2012
ELISE,FEMALE,BLACK NON HISP,10,47,2012
ELIZABETH,FEMALE,BLACK NON HISP,31,27,2012
LAYLA,FEMALE,BLACK NON HISP,20,37,2012
WILLIAM,MALE,BLACK NON HISP,22,49,2012
JAYDA,FEMALE,BLACK NON HISP,12,45,2012
FATIMA,FEMALE,BLACK NON HISP,29,29,2012
AMAYA,FEMALE,BLACK NON HISP,37,21,2012
LUCAS,MALE,BLACK NON HISP,15,56,2012
KYLE,MALE,BLACK NON HISP,44,30,2012
ADAM,MALE,BLACK NON HISP,20,51,2012
BRIAN,MALE,BLACK NON HISP,12,59,2012
KHALIL,MALE,BLACK NON HISP,18,53,2012
GAVIN,MALE,BLACK NON HISP,19,52,2012
AISSATOU,FEMALE,BLACK NON HISP,13,44,2012
BINTOU,FEMALE,BLACK NON HISP,11,46,2012
JACOB,MALE,BLACK NON HISP,58,20,2012
AMAR'E,MALE,BLACK NON HISP,16,55,2012
LOGAN,MALE,BLACK NON HISP,41,33,2012
LILY,FEMALE,BLACK NON HISP,12,45,2012
CHANCE,MALE,BLACK NON HISP,25,46,2012
KYLEE,FEMALE,BLACK NON HISP,15,42,2012
KYLIE,FEMALE,BLACK NON HISP,31,27,2012
MARIAH,FEMALE,BLACK NON HISP,22,35,2012
KRISTIAN,MALE,BLACK NON HISP,10,61,2012
TIMOTHY,MALE,BLACK NON HISP,10,61,2012
KAREEM,MALE,BLACK NON HISP,14,57,2012
MATTHEW,MALE,BLACK NON HISP,60,18,2012
EMILY,FEMALE,BLACK NON HISP,35,23,2012
NATHAN,MALE,BLACK NON HISP,48,27,2012
MAKAYLA,FEMALE,BLACK NON HISP,53,11,2012
BRIANNA,FEMALE,BLACK NON HISP,32,26,2012
BLAKE,MALE,BLACK NON HISP,24,47,2012
PRESTON,MALE,BLACK NON HISP,12,59,2012
MAKHI,MALE,BLACK NON HISP,11,60,2012
AMINA,FEMALE,BLACK NON HISP,11,46,2012
SARAI,FEMALE,BLACK NON HISP,16,41,2012
KADEN,MALE,BLACK NON HISP,16,55,2012
IBRAHIMA,MALE,BLACK NON HISP,17,54,2012
SKYLAH,FEMALE,BLACK NON HISP,14,43,2012
MARIAM,FEMALE,BLACK NON HISP,34,24,2012
JERMAINE,MALE,BLACK NON HISP,14,57,2012
EVAN,MALE,BLACK NON HISP,21,50,2012
ARIA,FEMALE,BLACK NON HISP,19,38,2012
LEILANI,FEMALE,BLACK NON HISP,17,40,2012
CHRISTIAN,MALE,BLACK NON HISP,104,7,2012
DANIELLE,FEMALE,BLACK NON HISP,10,47,2012
SOPHIA,FEMALE,BLACK NON HISP,23,34,2012
MILES,MALE,BLACK NON HISP,19,52,2012
AMIYAH,FEMALE,BLACK NON HISP,14,43,2012
PAUL,MALE,BLACK NON HISP,13,58,2012
JOEL,MALE,BLACK NON HISP,26,45,2012
SAMARA,FEMALE,BLACK NON HISP,15,42,2012
NOEL,MALE,BLACK NON HISP,13,58,2012
SARIAH,FEMALE,BLACK NON HISP,15,42,2012
JANIYAH,FEMALE,BLACK NON HISP,15,42,2012
AMADOU,MALE,BLACK NON HISP,21,50,2012
BENJAMIN,MALE,BLACK NON HISP,24,47,2012
ALEXA,FEMALE,BLACK NON HISP,12,45,2012
ARMANI,MALE,BLACK NON HISP,10,61,2012
KAIDEN,MALE,BLACK NON HISP,32,39,2012
WYNTER,FEMALE,BLACK NON HISP,10,47,2012
SASHA,FEMALE,BLACK NON HISP,13,44,2012
THOMAS,MALE,BLACK NON HISP,14,57,2012
JESSICA,FEMALE,BLACK NON HISP,11,46,2012
JULIAN,MALE,BLACK NON HISP,26,45,2012
GRACE,FEMALE,BLACK NON HISP,20,37,2012
SERENITY,FEMALE,BLACK NON HISP,59,7,2012
ISAAC,MALE,BLACK NON HISP,17,54,2012
ASHTON,MALE,BLACK NON HISP,16,55,2012
JACE,MALE,BLACK NON HISP,20,51,2012
MARCUS,MALE,BLACK NON HISP,29,42,2012
ANGEL,FEMALE,BLACK NON HISP,14,43,2012
CAMREN,MALE,BLACK NON HISP,11,60,2012
ALEXANDER,MALE,BLACK NON HISP,42,32,2012
DAVID,MALE,BLACK NON HISP,67,16,2012
MYA,FEMALE,BLACK NON HISP,21,36,2012
TYLER,MALE,BLACK NON HISP,90,10,2012
JORDYN,FEMALE,BLACK NON HISP,19,38,2012
JUSTICE,MALE,BLACK NON HISP,15,56,2012
JOHN,MALE,BLACK NON HISP,17,54,2012
GIOVANNI,MALE,BLACK NON HISP,12,59,2012
MORGAN,FEMALE,BLACK NON HISP,24,33,2012
LYRIC,FEMALE,BLACK NON HISP,16,41,2012
AMARI,MALE,BLACK NON HISP,44,30,2012
JAYLEN,MALE,BLACK NON HISP,29,42,2012
JAMARI,MALE,BLACK NON HISP,16,55,2012
VIOLET,FEMALE,BLACK NON HISP,11,46,2012
ABIGAIL,FEMALE,BLACK NON HISP,66,5,2012
CHAD,MALE,BLACK NON HISP,11,60,2012
ZAIRE,MALE,BLACK NON HISP,23,48,2012
CADEN,MALE,BLACK NON HISP,10,61,2012
BRYSON,MALE,BLACK NON HISP,10,61,2012
ARIEL,FEMALE,BLACK NON HISP,36,22,2012
MYLES,MALE,BLACK NON HISP,15,56,2012
TORI,FEMALE,BLACK NON HISP,13,44,2012
EMMA,FEMALE,BLACK NON HISP,27,31,2012
LAILA,FEMALE,BLACK NON HISP,38,20,2012
SINCERE,MALE,BLACK NON HISP,10,61,2012
GABRIEL,MALE,BLACK NON HISP,37,35,2012
ALEX,MALE,BLACK NON HISP,12,59,2012
SAMIR,MALE,BLACK NON HISP,12,59,2012
NIA,FEMALE,BLACK NON HISP,32,26,2012
AUSTIN,MALE,BLACK NON HISP,27,44,2012
ETHAN,MALE,BLACK NON HISP,151,3,2012
DEBORAH,FEMALE,BLACK NON HISP,10,47,2012
JOSIAH,MALE,BLACK NON HISP,103,8,2012
JANELLE,FEMALE,BLACK NON HISP,17,40,2012
SEAN,MALE,BLACK NON HISP,18,53,2012
ERIC,MALE,BLACK NON HISP,22,49,2012
MALIA,FEMALE,BLACK NON HISP,21,36,2012
ANIYA,FEMALE,BLACK NON HISP,11,46,2012
